index,Series,Vol,OI,TrdDate,VolTemp,OITemp
36,AP,3000,19165,2021-07-19,,
42,AWC,1,11167,2021-07-19,,
48,BA,6,4361,2021-07-19,,
54,BAM,200,8081,2021-07-19,,
60,BANPU,2165,40345,2021-07-19,,
66,BAY,0,1458,2021-07-19,,
72,BBL,60,9592,2021-07-19,,
78,BCH,1832,10551,2021-07-19,,
84,BCP,100,3863,2021-07-19,,
90,BCPG,1110,8471,2021-07-19,,
96,BDMS,720,9042,2021-07-19,,
102,BEAUTY,6,68182,2021-07-19,,
108,BEC,537,25981,2021-07-19,,
114,BEM,1004,35885,2021-07-19,,
120,BGRIM,216,12521,2021-07-19,,
126,BH,0,1080,2021-07-19,,
132,BJC,6,5479,2021-07-19,,
138,BLA,100,1668,2021-07-19,,
144,BLAND,1501,260094,2021-07-19,,
150,BPP,120,5953,2021-07-19,,
156,BTS,803,39318,2021-07-19,,
162,CBG,382,16308,2021-07-19,,
168,CENTEL,2,2056,2021-07-19,,
174,CHG,6542,38896,2021-07-19,,
180,CK,1,12864,2021-07-19,,
186,CKP,110,12291,2021-07-19,,
192,COM7,1113,6083,2021-07-19,,
198,CPALL,102,5227,2021-07-19,,
204,CPF,113,37620,2021-07-19,,
210,CPN,67,2041,2021-07-19,,
216,CRC,0,1181,2021-07-19,,
222,DELTA,44,487,2021-07-19,,
228,DTAC,670,6559,2021-07-19,,
234,EA,304,4770,2021-07-19,,
240,EASTW,0,11401,2021-07-19,,
246,EGCO,123,2310,2021-07-19,,
252,EPG,0,14774,2021-07-19,,
258,ERW,0,6033,2021-07-19,,
264,ESSO,500,7090,2021-07-19,,
270,GFPT,401,11915,2021-07-19,,
276,GLOBAL,803,7013,2021-07-19,,
282,GPSC,2471,6079,2021-07-19,,
288,GULF,1,4256,2021-07-19,,
294,GUNKUL,5184,167206,2021-07-19,,
300,HANA,137,2107,2021-07-19,,
306,HMPRO,200,6793,2021-07-19,,
312,ICHI,6,16075,2021-07-19,,
318,INTUCH,22,308,2021-07-19,,
