index,Series,Vol,OI,TrdDate,Avg5,Avg10
78,BCPG,1719,7098,2020-11-16,,
84,BDMS,1337,6339,2020-11-16,,
90,BEAUTY,3649,18953,2020-11-16,,
96,BEC,1069,38717,2020-11-16,,
102,BEM,9006,14890,2020-11-16,,
108,BGRIM,1009,2971,2020-11-16,,
114,BH,224,604,2020-11-16,,
120,BJC,477,872,2020-11-16,,
126,BLA,0,437,2020-11-16,,
132,BLAND,77,352322,2020-11-16,,
138,BPP,475,3884,2020-11-16,,
144,BTS,14247,45049,2020-11-16,,
150,CBG,2356,15273,2020-11-16,,
156,CENTEL,1542,2703,2020-11-16,,
162,CHG,504,5725,2020-11-16,,
168,CK,757,2956,2020-11-16,,
174,CKP,73,3965,2020-11-16,,
180,COM7,413,5053,2020-11-16,,
186,CPALL,1139,9757,2020-11-16,,
192,CPF,1456,20299,2020-11-16,,
198,CPN,466,1213,2020-11-16,,
204,DELTA,30,1020,2020-11-16,,
210,DTAC,507,2669,2020-11-16,,
216,EA,705,6236,2020-11-16,,
222,EASTW,0,400,2020-11-16,,
228,EGCO,203,1049,2020-11-16,,
234,EPG,1573,3676,2020-11-16,,
240,ERW,533,10626,2020-11-16,,
246,ESSO,1022,4527,2020-11-16,,
252,GFPT,410,3385,2020-11-16,,
258,GLOBAL,200,6002,2020-11-16,,
264,GPSC,2152,3680,2020-11-16,,
270,GULF,4130,15262,2020-11-16,,
276,GUNKUL,2556,33508,2020-11-16,,
282,HANA,208,1178,2020-11-16,,
288,HMPRO,301,2265,2020-11-16,,
294,ICHI,2011,13551,2020-11-16,,
300,INTUCH,1784,2497,2020-11-16,,
306,IRPC,12798,31080,2020-11-16,,
312,ITD,1072,4733,2020-11-16,,
318,IVL,1562,6220,2020-11-16,,
324,JAS,1619,46465,2020-11-16,,
330,JMT,199,2301,2020-11-16,,
336,KBANK,1980,5133,2020-11-16,,
342,KCE,445,1927,2020-11-16,,
348,KKP,582,2709,2020-11-16,,
354,KTB,5392,18935,2020-11-16,,
360,KTC,128,42471,2020-11-16,,
366,LH,305,5798,2020-11-16,,
372,LPN,2208,15801,2020-11-16,,
378,M,60,148,2020-11-16,,
384,MAJOR,200,3070,2020-11-16,,
390,MBK,305,1315,2020-11-16,,
396,MEGA,1,78,2020-11-16,,
402,MINT,7603,24552,2020-11-16,,
408,MTC,282,2170,2020-11-16,,
414,ORI,1700,6258,2020-11-16,,
420,OSP,1673,3464,2020-11-16,,
426,PLANB,4502,7606,2020-11-16,,
432,PRM,1027,23183,2020-11-16,,
438,PSH,101,4652,2020-11-16,,
444,PSL,1228,7735,2020-11-16,,
450,PTG,1346,9816,2020-11-16,,
456,PTT,2220,42686,2020-11-16,,
462,PTTEP,83,666,2020-11-16,,
468,PTTGC,1366,3098,2020-11-16,,
474,QH,1000,18570,2020-11-16,,
480,RATCH,139,830,2020-11-16,,
483,ROBINS,300,321,2020-11-16,,
489,RS,104,63863,2020-11-16,,
495,S,0,12002,2020-11-16,,
501,SAMART,10,8257,2020-11-16,,
507,SAWAD,1257,4642,2020-11-16,,
513,SCB,1149,6473,2020-11-16,,
519,SCC,80,1132,2020-11-16,,
525,SGP,0,1000,2020-11-16,,
531,SIRI,1407,39262,2020-11-16,,
537,SPALI,301,1144,2020-11-16,,
543,SPCG,25,7276,2020-11-16,,
549,SPRC,3249,11064,2020-11-16,,
555,STA,2322,8371,2020-11-16,,
561,STEC,2079,3831,2020-11-16,,
567,STPI,511,2620,2020-11-16,,
573,SUPER,21358,186596,2020-11-16,,
579,TASCO,867,5958,2020-11-16,,
585,TCAP,230,1956,2020-11-16,,
591,THAI,2,603,2020-11-16,,
597,THANI,500,10500,2020-11-16,,
603,THCOM,510,9074,2020-11-16,,
609,THG,0,0,2020-11-16,,
615,TISCO,390,1149,2020-11-16,,
621,TKN,519,50333,2020-11-16,,
627,TMB,13000,37907,2020-11-16,,
633,TOA,0,1502,2020-11-16,,
639,TOP,946,1454,2020-11-16,,
645,TPIPL,0,3032,2020-11-16,,
651,TPIPP,0,3541,2020-11-16,,
657,TQM,21,454,2020-11-16,,
663,TRUE,25164,53748,2020-11-16,,
669,TTA,507,1599,2020-11-16,,
675,TTCL,500,9262,2020-11-16,,
681,TTW,0,2119,2020-11-16,,
687,TU,966,6036,2020-11-16,,
693,TVO,100,117,2020-11-16,,
699,UNIQ,0,179,2020-11-16,,
705,VGI,28246,22020,2020-11-16,,
711,VNG,0,17512,2020-11-16,,
717,VNT,0,1895,2020-11-16,,
723,WHA,45732,80151,2020-11-16,,
729,WHAUP,1466,1993,2020-11-16,,
730,Single Stock,277089,1773224,2020-11-16,,
6,AAV,3581,11569,2020-11-17,,
12,ADVANC,392,4260,2020-11-17,,
18,AEONTS,333,410,2020-11-17,,
24,AMATA,3001,1436,2020-11-17,,
30,AOT,1380,9437,2020-11-17,,
36,AP,2,1146,2020-11-17,,
42,BA,511,1759,2020-11-17,,
48,BANPU,4304,35369,2020-11-17,,
54,BAY,0,137,2020-11-17,,
60,BBL,118,1390,2020-11-17,,
66,BCH,306,3822,2020-11-17,,
72,BCP,890,1671,2020-11-17,,
78,BCPG,2889,5969,2020-11-17,,
84,BDMS,5202,8196,2020-11-17,,
90,BEAUTY,5584,20005,2020-11-17,,
96,BEC,31,38718,2020-11-17,,
102,BEM,1506,14390,2020-11-17,,
108,BGRIM,243,2967,2020-11-17,,
114,BH,192,659,2020-11-17,,
120,BJC,80,912,2020-11-17,,
126,BLA,304,139,2020-11-17,,
132,BLAND,4237,354187,2020-11-17,,
138,BPP,405,3684,2020-11-17,,
144,BTS,4986,44949,2020-11-17,,
